,    Order |  ,    Club |  ,    State |  ,    Competition |  ,    Expenditures |  ,    Arrivals |  ,    Income  |  ,    Departures |  ,    Balance |  ,    Season |  , Inflacion + Income |  , Inflacion + Expenditures |  , Inflacion + Balance |  
94,5,ACParma,Italy,SerieA,48500000.0,34,89150000.0,29,40650000.0,2002,118422502.18,64425029.23,53997472.95
95,5,FCBarcelona,Spain,LaLiga,93100000.0,13,31700000.0,10,-61400000.0,2001,42992053.65,126263728.55,-83271674.9
96,5,ACParma,Italy,SerieA,65400000.0,20,72730000.0,22,7330000.0,2000,101168463.77,90972329.58,10196134.19
97,6,Real Madrid,Spain,LaLiga,162750000.0,23,133500000.0,13,-29250000.0,2018,135583576.43,165290090.36,-29706513.94
98,6,ManchesterUnited,England,PremierLeague,198400000.0,14,45500000.0,11,-152900000.0,2017,46831568.37,204206223.42,-157374655.04
99,6,ChelseaFC,England,PremierLeague,132800000.0,41,108400000.0,30,-24400000.0,2016,112799279.7,138189523.47,-25390243.77
100,6,LiverpoolFC,England,PremierLeague,125400000.0,28,90550000.0,23,-34850000.0,2015,94460941.09,130816145.92,-36355204.83
101,6,ArsenalFC,England,PremierLeague,118980000.0,22,27800000.0,23,-91180000.0,2014,28951382.72,123907752.36,-94956369.65
102,6,ManchesterCity,England,PremierLeague,116000000.0,19,11300000.0,20,-104700000.0,2013,11867747.03,121828199.57,-109960452.55
103,6,TottenhamHotspur,England,PremierLeague,73250000.0,38,72780000.0,37,-470000.0,2012,78131607.09,78636166.8,-504559.71
104,6,AnzhiMakhachkala,Russia,PremierLiga,88200000.0,22,26000000.0,19,-62200000.0,2011,28680896.93,97294427.27,-68613530.34
105,6,FCBarcelona,Spain,LaLiga,72500000.0,15,52700000.0,9,-19800000.0,2010,59424998.2,81751657.86,-22326659.66
106,6,GenoaCFC,Italy,SerieA,78740000.0,89,64450000.0,58,-14290000.0,2009,73341798.5,89603308.21,-16261509.71
107,6,ACMilan,Italy,SerieA,68300000.0,45,47200000.0,38,-21100000.0,2008,54601342.73,79009993.82,-24408651.09
108,6,GalatasaraySK,Turkey,SüperLig,12000000.0,38,6150000.0,23,-5850000.0,2008,7114369.87,13881697.3,-6767327.44
109,6,AtléticoMadrid,Spain,LaLiga,80500000.0,22,52100000.0,16,-28400000.0,2007,62141260.77,96014807.91,-33873547.14
110,6,ValenciaCF,Spain,LaLiga,49800000.0,23,17830000.0,18,-31970000.0,2006,21676214.13,60542650.81,-38866436.67
