100,QatarStarsLeague,2015,Qatar,27466.67,28652.98
101,AlkaSuperligaen,2015,Denmark,141559.14,147673.21
102,ScottishPremiership,2015,Scotland,104549.18,109064.76
103,1.HNL,2015,Croatia,123060.5,128375.6
104,PremierLeague,2014,England,1171982.61,1220522.2
105,LaLiga,2014,Spain,1381778.85,1439007.49
106,SerieA,2014,Italy,356661.29,371433.0
107,Bundesliga,2014,Germany,727543.86,757676.29
108,Ligue1,2014,France,755454.55,786742.94
109,ChineseSuperLeague,2014,China,183974.9,191594.52
110,Championship,2014,England,182737.19,190305.55
111,LigaNOS,2014,Portugal,521231.73,542819.4
112,PremierLiga,2014,Russia,235353.16,245100.7
113,CampeonatoBrasileiroSérieA,2014,Brazil,176436.65,183744.07
114,SüperLig,2014,Turkey,106134.83,110530.58
115,QatarStarsLeague,2014,Qatar,5863.31,6106.15
116,UAEArabianGulfLeague,2014,UnitedArabEmirates,104487.18,108814.69
117,JupilerProLeague,2014,Belgium,226220.93,235590.24
118,Eredivisie,2014,Netherlands,415373.13,432576.5
119,2.Bundesliga,2014,Germany,136767.68,142432.14
120,PrimeraDivisión,2014,Argentina,205585.28,214099.94
121,SerieB,2014,Italy,67473.23,70267.75
122,SuperLeague,2014,Greece,63856.09,66500.79
123,PremierLiga,2014,Ukraine,225104.9,234427.98
124,TorneoInicial,2014,Argentina,156428.57,162907.32
125,SaudiProfessionalLeague,2014,SaudiArabia,3940.89,4104.11
126,SuperLeague,2014,Switzerland,235620.92,245379.54
127,AlkaSuperligaen,2014,Denmark,94525.14,98440.05
128,Bundesliga,2014,Austria,447972.97,466526.51
129,1.HNL,2014,Croatia,107849.46,112316.23
130,PremierLeague,2013,England,753065.42,790901.76
131,SerieA,2013,Italy,488623.12,513173.06
132,LaLiga,2013,Spain,1272595.42,1336534.56
133,Ligue1,2013,France,732252.25,769042.88
134,PremierLiga,2013,Russia,1036730.77,1088819.34
135,Bundesliga,2013,Germany,817032.97,858083.24
136,PremierLiga,2013,Ukraine,271987.58,285653.08
137,SüperLig,2013,Turkey,93573.09,98274.49
138,LigaNOS,2013,Portugal,433502.3,455282.8
139,ChineseSuperLeague,2013,China,128712.12,135179.02
140,UAEArabianGulfLeague,2013,UnitedArabEmirates,28909.95,30362.48
141,CampeonatoBrasileiroSérieA,2013,Brazil,360086.31,378178.17
142,Championship,2013,England,97872.34,102789.75
143,SerieB,2013,Italy,79989.01,84007.91
144,QatarStarsLeague,2013,Qatar,85714.29,90020.84
145,JupilerProLeague,2013,Belgium,161553.13,169670.06
146,Eredivisie,2013,Netherlands,469117.65,492687.57
147,SaudiProfessionalLeague,2013,SaudiArabia,53971.96,56683.68
148,TorneoFinal,2013,Argentina,127538.13,133946.04
149,MajorLeagueSoccer,2013,UnitedStates,6494.85,6821.17
150,SuperLeague,2013,Switzerland,329573.17,346131.95
151,2.Bundesliga,2013,Germany,70669.01,74219.64
152,ScottishPremiership,2013,Scotland,122948.72,129126.04
153,SuperLeague,2013,Greece,94331.21,99070.7
154,AlkaSuperligaen,2013,Denmark,138639.05,145604.71
155,1.HNL,2013,Croatia,103159.72,108342.79
156,PremierLeague,2012,England,705226.42,757082.62
157,SerieA,2012,Italy,543852.3,583842.45
158,PremierLiga,2012,Russia,331141.73,355491.01
159,Bundesliga,2012,Germany,602013.65,646280.49
160,Ligue1,2012,France,764131.15,820318.69
161,LaLiga,2012,Spain,612997.2,658071.67
162,SüperLig,2012,Turkey,124974.75,134164.3
163,CampeonatoBrasileiroSérieA,2012,Brazil,257270.59,276188.03
164,Championship,2012,England,155366.49,166790.79
165,PremierLiga,2012,Ukraine,242684.56,260529.47
166,ChineseSuperLeague,2012,China,84932.74,91177.95
167,LigaNOS,2012,Portugal,435878.22,467928.91
168,Eredivisie,2012,Netherlands,384300.0,412558.07
169,JupilerProLeague,2012,Belgium,149629.63,160632.09
170,QatarStarsLeague,2012,Qatar,36206.9,38869.24
171,SaudiProfessionalLeague,2012,SaudiArabia,30205.13,32426.15
172,Ligue2,2012,France,171517.03,184128.9
