9,ACFFiorentina,Italy,SerieA,34500000.0,26,10190000.0,30,-24310000.0,2005,12669290.0,42894063.3,-30224773.3
9,ACFFiorentina,Italy,SerieA,47000000.0,23,2000000.0,25,-45000000.0,2004,2545289.0,59814291.48,-57269002.48
10,ASRoma,Italy,SerieA,76290000.0,66,118700000.0,52,42410000.0,2013,124663855.94,80123046.08,44540809.86
10,InterMilan,Italy,SerieA,43740000.0,57,60030000.0,40,16290000.0,2010,67690372.71,49321620.9,18368751.82
10,GenoaCFC,Italy,SerieA,55310000.0,62,35650000.0,46,-19660000.0,2008,41240209.07,63983056.49,-22742847.42
10,ACMilan,Italy,SerieA,33500000.0,38,12000000.0,26,-21500000.0,2005,14919674.19,41650757.12,-26731082.93
10,ASRoma,Italy,SerieA,43210000.0,31,61200000.0,26,17990000.0,2004,77885843.37,54990968.83,22894874.55
10,ASRoma,Italy,SerieA,47950000.0,21,53660000.0,20,5710000.0,2001,72774561.48,65030566.96,7743994.52
11,InterMilan,Italy,SerieA,133130000.0,90,75240000.0,70,-57890000.0,2017,77441916.58,137026081.27,-59584164.69
11,InterMilan,Italy,SerieA,98750000.0,95,111820000.0,79,13070000.0,2015,116649612.73,103015106.93,13634505.8
11,USPalermo,Italy,SerieA,53500000.0,46,63950000.0,29,10450000.0,2008,73977878.55,61889233.81,12088644.74
11,USPalermo,Italy,SerieA,34200000.0,37,27400000.0,23,-6800000.0,2006,33310615.1,41577483.09,-8266867.98
11,ASRoma,Italy,SerieA,25450000.0,23,200000.0,18,-25250000.0,2003,259672.18,33043284.99,-32783612.81
11,ACMilan,Italy,SerieA,53000000.0,28,8550000.0,19,-44450000.0,2000,11893171.53,73723753.33,-61830581.8
12,ASRoma,Italy,SerieA,100750000.0,89,70830000.0,67,-29920000.0,2016,73704547.8,104838813.93,-31134266.13
12,JuventusFC,Italy,SerieA,58550000.0,108,32410000.0,66,-26140000.0,2014,33752313.45,60974944.54,-27222631.09
12,ACParma,Italy,SerieA,24020000.0,39,61200000.0,30,37190000.0,2003,79459687.28,31186628.9,48286041.99
13,SSCNapoli,Italy,SerieA,97090000.0,59,116810000.0,40,19720000.0,2016,121550589.13,101030277.36,20520311.77
13,ACMilan,Italy,SerieA,90970000.0,68,13550000.0,58,-77420000.0,2015,14135237.46,94899081.29,-80763843.84
13,ACMilan,Italy,SerieA,55650000.0,70,94500000.0,56,38850000.0,2012,101448706.65,59742016.14,41706690.51
13,ACFFiorentina,Italy,SerieA,49200000.0,36,18200000.0,30,-31000000.0,2008,21053907.58,56914958.95,-35861051.37
13,JuventusFC,Italy,SerieA,30390000.0,44,14030000.0,31,-16360000.0,2005,17443585.74,37784074.89,-20340489.15
14,InterMilan,Italy,SerieA,59890000.0,65,10950000.0,45,-48940000.0,2013,11500161.94,62899059.25,-51398897.3
14,ACMilan,Italy,SerieA,57350000.0,67,22300000.0,48,-35050000.0,2011,24599384.67,63263439.95,-38664055.28
14,InterMilan,Italy,SerieA,30000000.0,46,22660000.0,35,-7350000.0,2005,28173318.1,37299185.48,-9138300.44
15,ASRoma,Italy,SerieA,44170000.0,65,21560000.0,48,-22600000.0,2012,23145334.55,47417876.96,-24261807.09
15,ACFFiorentina,Italy,SerieA,38470000.0,49,45000000.0,33,6530000.0,2009,51208393.06,43777486.24,7430906.81
15,JuventusFC,Italy,SerieA,40500000.0,48,31700000.0,34,-8800000.0,2008,36670817.05,46850728.4,-10179911.36
15,ASRoma,Italy,SerieA,52600000.0,39,22940000.0,28,-29670000.0,2007,27361238.43,62737626.04,-35388314.92
16,GenoaCFC,Italy,SerieA,53530000.0,100,73700000.0,73,20170000.0,2011,81299311.68,59049554.33,22249757.35
16,ACFFiorentina,Italy,SerieA,28750000.0,23,5530000.0,21,-23230000.0,2006,6722908.81,34951831.54,-28241079.89
